system:index,area,class,id,year,.geo
0_00000000000000000147_0_0,0.0030110044395297,'Formação Florestal',328,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000147_0_1,0.0224435012843711,'Mosaico de Agricultura ou Pastagem',328,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000147_0_0,0.0030110044395297,'Formação Florestal',328,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000147_0_1,0.0224435012843711,'Mosaico de Agricultura ou Pastagem',328,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000147_0_0,0.0030110044395297,'Formação Florestal',328,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000147_0_1,0.0224435012843711,'Mosaico de Agricultura ou Pastagem',328,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000147_0_0,0.0030110044395297,'Formação Florestal',328,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000147_0_1,0.0224435012843711,'Mosaico de Agricultura ou Pastagem',328,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000147_0_0,0.0030110044395297,'Formação Florestal',328,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000147_0_1,0.0224435012843711,'Mosaico de Agricultura ou Pastagem',328,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000147_0_0,0.0254545057239008,'Mosaico de Agricultura ou Pastagem',328,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000147_0_0,0.0254545057239008,'Mosaico de Agricultura ou Pastagem',328,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000147_0_0,0.0053737750806621,'Pastagem',328,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000147_0_1,0.0200807306432387,'Mosaico de Agricultura ou Pastagem',328,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000147_0_0,0.0074939028346641,'Pastagem',328,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000147_0_1,0.0179606028892367,'Mosaico de Agricultura ou Pastagem',328,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000147_0_0,0.0080686336768056,'Pastagem',328,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000147_0_1,0.0173858720470952,'Mosaico de Agricultura ou Pastagem',328,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000147_0_0,0.0072703896343156,'Pastagem',328,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000147_0_1,0.0181841160895852,'Mosaico de Agricultura ou Pastagem',328,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000147_0_0,0.0064561790019914,'Pastagem',328,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000147_0_1,0.0189983267219094,'Mosaico de Agricultura ou Pastagem',328,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000147_0_0,0.0034100835961435,'Pastagem',328,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000147_0_1,0.0220444221277573,'Mosaico de Agricultura ou Pastagem',328,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000147_0_0,0.0013218837115119,'Pastagem',328,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000147_0_1,0.0241326220123889,'Mosaico de Agricultura ou Pastagem',328,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000147_0_0,0.0013218837115119,'Pastagem',328,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000147_0_1,0.0241326220123889,'Mosaico de Agricultura ou Pastagem',328,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000147_0_0,0.0046234693550857,'Formação Florestal',328,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000147_0_1,0.0013218837115119,'Pastagem',328,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000147_0_2,0.0195091526573031,'Mosaico de Agricultura ou Pastagem',328,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000147_0_0,0.0046234693550857,'Formação Florestal',328,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000147_0_1,0.0035026764871036,'Pastagem',328,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000147_0_2,0.0173283598817114,'Mosaico de Agricultura ou Pastagem',328,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000147_0_0,0.0046234693550857,'Formação Florestal',328,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000147_0_1,0.006666910744581,'Pastagem',328,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000147_0_2,0.014164125624234,'Mosaico de Agricultura ou Pastagem',328,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
