system:index,area,class,id,year,.geo
0_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000350_0_1,0.0037306629882812,'Pastagem',849,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000350_0_2,0.0059856112067727,'Mosaico de Agricultura ou Pastagem',849,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000350_0_1,0.0016220278320312,'Pastagem',849,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000350_0_2,0.0080942463630227,'Mosaico de Agricultura ou Pastagem',849,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000350_0_1,0.0023185456657858,'Pastagem',849,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000350_0_2,0.0073977285292681,'Mosaico de Agricultura ou Pastagem',849,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000350_0_1,0.0023185456657858,'Pastagem',849,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000350_0_2,0.0073977285292681,'Mosaico de Agricultura ou Pastagem',849,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000350_0_1,0.0015075317497702,'Pastagem',849,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000350_0_2,0.0082087424452837,'Mosaico de Agricultura ou Pastagem',849,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000350_0_1,0.0015075317497702,'Pastagem',849,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000350_0_2,0.0082087424452837,'Mosaico de Agricultura ou Pastagem',849,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000350_0_1,0.0020768329568301,'Pastagem',849,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000350_0_2,0.0076394412382238,'Mosaico de Agricultura ou Pastagem',849,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000350_0_1,0.0020768329568301,'Pastagem',849,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000350_0_2,0.0076394412382238,'Mosaico de Agricultura ou Pastagem',849,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000350_0_1,0.0025634402810489,'Pastagem',849,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000350_0_2,0.007152833914005,'Mosaico de Agricultura ou Pastagem',849,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000350_0_1,0.00048660732421875,'Pastagem',849,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000350_0_2,0.0092296668708352,'Mosaico de Agricultura ou Pastagem',849,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000350_0_1,0.0092296668708352,'Mosaico de Agricultura ou Pastagem',849,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000350_0_2,0.00048660732421875,'Soja',849,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000350_0_1,0.0092296668708352,'Mosaico de Agricultura ou Pastagem',849,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000350_0_2,0.00048660732421875,'Soja',849,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000350_0_1,0.0092296668708352,'Mosaico de Agricultura ou Pastagem',849,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000350_0_2,0.00048660732421875,'Soja',849,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000350_0_1,0.0085649549050723,'Mosaico de Agricultura ou Pastagem',849,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000350_0_2,0.0011513192899816,'Outras Lavouras Temporárias',849,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000350_0_1,0.0085649549050723,'Mosaico de Agricultura ou Pastagem',849,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000350_0_2,0.0011513192899816,'Outras Lavouras Temporárias',849,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000350_0_0,0.0088098833007812,'Formação Florestal',849,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
