system:index,area,class,id,year,.geo
0_000000000000000000f3_0_0,0.0116519352852615,'Mosaico de Agricultura ou Pastagem',244,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f3_0_1,0.0011702641785864,'Restinga Florestal',244,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000f3_0_0,0.0024264394081265,'Mosaico de Agricultura ou Pastagem',244,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000f3_0_1,0.0103957600557215,'Restinga Florestal',244,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000f3_0_0,0.0024264394081265,'Mosaico de Agricultura ou Pastagem',244,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000f3_0_1,0.0103957600557215,'Restinga Florestal',244,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000f3_0_0,0.0024264394081265,'Mosaico de Agricultura ou Pastagem',244,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000f3_0_1,0.0103957600557215,'Restinga Florestal',244,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000f3_0_0,0.012822199463848,'Restinga Florestal',244,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000f3_0_0,0.012822199463848,'Restinga Florestal',244,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000000000000000000f3_0_0,0.012822199463848,'Restinga Florestal',244,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000000f3_0_0,0.012822199463848,'Restinga Florestal',244,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_000000000000000000f3_0_0,0.0032119052159926,'Mosaico de Agricultura ou Pastagem',244,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_000000000000000000f3_0_1,0.0096102942478553,'Restinga Florestal',244,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_000000000000000000f3_0_0,0.0032119052159926,'Mosaico de Agricultura ou Pastagem',244,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_000000000000000000f3_0_1,0.0096102942478553,'Restinga Florestal',244,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_000000000000000000f3_0_0,0.0032119052159926,'Mosaico de Agricultura ou Pastagem',244,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_000000000000000000f3_0_1,0.0096102942478553,'Restinga Florestal',244,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_000000000000000000f3_0_0,0.0032119052159926,'Mosaico de Agricultura ou Pastagem',244,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_000000000000000000f3_0_1,0.0096102942478553,'Restinga Florestal',244,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_000000000000000000f3_0_0,0.0032119052159926,'Mosaico de Agricultura ou Pastagem',244,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_000000000000000000f3_0_1,0.0096102942478553,'Restinga Florestal',244,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_000000000000000000f3_0_0,0.0024327891845703,'Mosaico de Agricultura ou Pastagem',244,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_000000000000000000f3_0_1,0.0103894102792777,'Restinga Florestal',244,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_000000000000000000f3_0_0,0.0024327891845703,'Mosaico de Agricultura ou Pastagem',244,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_000000000000000000f3_0_1,0.0103894102792777,'Restinga Florestal',244,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_000000000000000000f3_0_0,0.0024327891845703,'Mosaico de Agricultura ou Pastagem',244,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_000000000000000000f3_0_1,0.0103894102792777,'Restinga Florestal',244,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_000000000000000000f3_0_0,0.0024327891845703,'Mosaico de Agricultura ou Pastagem',244,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_000000000000000000f3_0_1,0.0103894102792777,'Restinga Florestal',244,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_000000000000000000f3_0_0,0.0024327891845703,'Mosaico de Agricultura ou Pastagem',244,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_000000000000000000f3_0_1,0.0103894102792777,'Restinga Florestal',244,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_000000000000000000f3_0_0,0.0032119052159926,'Mosaico de Agricultura ou Pastagem',244,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_000000000000000000f3_0_1,0.0096102942478553,'Restinga Florestal',244,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
