system:index,area,class,id,year,.geo
0_00000000000000000263_0_0,0.9701054337691988,'Formação Florestal',612,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000263_0_1,0.7502757351237009,'Mosaico de Agricultura ou Pastagem',612,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000263_0_2,0.425522747163182,'Restinga Florestal',612,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000263_0_0,1.026873683634923,'Formação Florestal',612,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000263_0_1,0.6012694301568716,'Mosaico de Agricultura ou Pastagem',612,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000263_0_2,0.5177608022642853,'Restinga Florestal',612,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000263_0_0,1.0341738293868747,'Formação Florestal',612,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000263_0_1,0.5921816599595002,'Mosaico de Agricultura ou Pastagem',612,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000263_0_2,0.5195484267097031,'Restinga Florestal',612,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000263_0_0,1.0398522888595303,'Formação Florestal',612,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000263_0_1,0.586503200486844,'Mosaico de Agricultura ou Pastagem',612,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000263_0_2,0.5195484267097031,'Restinga Florestal',612,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000263_0_0,1.0430973346969323,'Formação Florestal',612,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000263_0_1,0.0073007081909179,'Pastagem',612,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
