system:index,area,class,id,year,.geo
0_00000000000000000261_0_0,0.0647058929136986,'Área Úmida Natural não Florestal',610,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000261_0_1,0.0461855012309953,'Formação Campestre',610,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000261_0_2,0.2284189088737938,'Pastagem',610,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000261_0_3,0.0048106889648437,'Mosaico de Agricultura ou Pastagem',610,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000261_0_0,0.0647058929136986,'Área Úmida Natural não Florestal',610,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000261_0_1,0.0263548640452665,'Formação Campestre',610,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000261_0_2,0.2482495460595226,'Pastagem',610,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000261_0_3,0.0048106889648437,'Mosaico de Agricultura ou Pastagem',610,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000261_0_0,0.0470947488262101,'Área Úmida Natural não Florestal',610,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000261_0_1,0.0263548640452665,'Formação Campestre',610,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000261_0_2,0.267464259238808,'Pastagem',610,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000261_0_3,0.0032071198730468,'Mosaico de Agricultura ou Pastagem',610,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000261_0_0,0.0422840598613664,'Área Úmida Natural não Florestal',610,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000261_0_1,0.021544167756204,'Formação Campestre',610,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000261_0_2,0.2802927643657613,'Pastagem',610,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000261_0_0,0.0380015829687978,'Área Úmida Natural não Florestal',610,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000261_0_1,0.0072160029907226,'Formação Campestre',610,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000261_0_2,0.2766357743116195,'Pastagem',610,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000261_0_3,0.0112251959838867,'Mosaico de Agricultura ou Pastagem',610,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000261_0_4,0.0015186435841279,'Soja',610,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000261_0_5,0.009523792144177,'Outras Lavouras Temporárias',610,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000261_0_0,0.0371997827368642,'Área Úmida Natural não Florestal',610,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000261_0_1,0.2139924069982194,'Pastagem',610,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000261_0_2,0.0234344605624329,'Mosaico de Agricultura ou Pastagem',610,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000261_0_3,0.0013016906436695,'Soja',610,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000261_0_4,0.0681926510421453,'Outras Lavouras Temporárias',610,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000261_0_0,0.0349484945786419,'Área Úmida Natural não Florestal',610,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000261_0_1,0.2001105281709561,'Pastagem',610,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000261_0_2,0.0130110685336243,'Mosaico de Agricultura ou Pastagem',610,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000261_0_3,0.0104233755493164,'Soja',610,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000261_0_4,0.0856275251507927,'Outras Lavouras Temporárias',610,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000261_0_0,0.0373538381455365,'Área Úmida Natural não Florestal',610,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000261_0_1,0.1772894284835518,'Pastagem',610,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000261_0_2,0.0114074919955384,'Mosaico de Agricultura ou Pastagem',610,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000261_0_3,0.0350243584855621,'Soja',610,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000261_0_4,0.0830458748731426,'Outras Lavouras Temporárias',610,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000261_0_0,0.0152338339843749,'Área Úmida Natural não Florestal',610,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000261_0_1,0.0345492429405062,'Pastagem',610,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000261_0_2,0.0527172594499176,'Soja',610,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000261_0_3,0.2416206556085323,'Outras Lavouras Temporárias',610,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000261_0_0,0.0144320558471679,'Área Úmida Natural não Florestal',610,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000261_0_1,0.0329456609092562,'Pastagem',610,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000261_0_2,0.0483876753915824,'Soja',610,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000261_0_3,0.2483555998353246,'Outras Lavouras Temporárias',610,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000261_0_0,0.008819596130371,'Área Úmida Natural não Florestal',610,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000261_0_1,0.0154666318778243,'Pastagem',610,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000261_0_2,0.0326725212297028,'Soja',610,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000261_0_3,0.2871622427454335,'Outras Lavouras Temporárias',610,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000261_0_0,0.0282951276663985,'Pastagem',610,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000261_0_1,0.0024053804321289,'Mosaico de Agricultura ou Pastagem',610,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000261_0_2,0.0168377810668945,'Soja',610,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000261_0_3,0.2965827028179098,'Outras Lavouras Temporárias',610,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000261_0_0,0.1004970007168639,'Pastagem',610,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000261_0_1,0.0716792782037473,'Mosaico de Agricultura ou Pastagem',610,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000261_0_2,0.0040090029907226,'Soja',610,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000261_0_3,0.1679357100719976,'Outras Lavouras Temporárias',610,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000261_0_0,0.1750792788318113,'Pastagem',610,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000261_0_1,0.1425069312602921,'Mosaico de Agricultura ou Pastagem',610,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000261_0_2,0.0208467232666015,'Soja',610,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000261_0_3,0.0056880586246266,'Outras Lavouras Temporárias',610,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000261_0_0,0.176682849815698,'Pastagem',610,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000261_0_1,0.1562130051437078,'Mosaico de Agricultura ou Pastagem',610,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000261_0_2,0.0112251370239257,'Soja',610,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000261_0_0,0.1774845984729246,'Pastagem',610,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000261_0_1,0.166636393510407,'Mosaico de Agricultura ou Pastagem',610,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000261_0_0,0.0399226475085688,'Área Úmida Natural não Florestal',610,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000261_0_1,0.1274216598087087,'Pastagem',610,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000261_0_2,0.1767766846660537,'Mosaico de Agricultura ou Pastagem',610,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
