mun;grupos;num;area;n_af_nao;n_af_sim;area_af_nao;area_af_sim;usa_agrotoxico;nao_usa_agrotoxico;naf_usa_agrotoxico;naf_nao_usa_agrotoxico;af_usa_agrotoxico;af_nao_usa_agrotoxico;naf_organico;naf_n_organico;af_organico;af_n_organico;;
Paraná;Mais de 0 a menos de 0,1 ha;2637;113;917;1720;20;44;326;2311;97;820;229;1491;72;681;141;1226;;
Paraná;De 0,1 a menos de 0,2 ha;2293;287;791;1502;57;109;364;1929;124;667;240;1262;76;514;151;969;;
Paraná;De 0,2 a menos de 0,5 ha;5420;1797;1743;3677;507;976;1385;4035;458;1285;927;2750;96;984;258;1929;;
Paraná;De 0,5 a menos de 1 ha;14588;8617;4814;9774;2721;5295;4276;10312;1339;3475;2937;6837;236;2521;604;4703;;
Paraná;De 1 a menos de 2 ha;13176;17454;3419;9757;4165;11915;5077;8099;1091;2328;3986;5771;131;1799;495;4084;;
Paraná;De 2 a menos de 3 ha;17801;43069;4144;13657;9653;31227;8109;9692;1444;2700;6665;6992;158;2047;547;4935;;
Paraná;De 3 a menos de 4 ha;15192;52628;2931;12261;9522;37453;8025;7167;1207;1724;6818;5443;93;1276;365;3615;;
Paraná;De 4 a menos de 5 ha;18983;89834;3450;15533;15626;66639;10372;8611;1349;2101;9023;6510;116;1606;423;4509;;
Paraná;De 5 a menos de 10 ha;50237;381528;7137;43100;53115;319898;31401;18836;3065;4072;28336;14764;201;3099;899;9909;;
Paraná;De 10 a menos de 20 ha;64194;930281;6706;57488;95080;813519;45039;19155;3102;3604;41937;15551;162;2711;878;10313;;
Paraná;De 20 a menos de 50 ha;54674;1694259;5892;48782;186487;1456644;40460;14214;3137;2755;37323;11459;113;2079;499;7736;;
Paraná;De 50 a menos de 100 ha;20107;1414129;9271;10836;702854;658187;15559;4548;7118;2153;8441;2395;87;1582;91;1614;;
Paraná;De 100 a menos de 200 ha;11660;1638751;11577;83;1513553;5591;8854;2806;8813;2764;41;42;73;1958;2;37;;
Paraná;De 200 a menos de 500 ha;8888;2719141;8855;33;2523329;4000;6718;2170;6702;2153;16;17;59;1527;1;14;;
